Time resolution is 1 ps
Time = 0 | i_fpga_clock = 0 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = x | o_SPI_MOSI = x | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 80000 | i_fpga_clock = 1 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 160000 | i_fpga_clock = 0 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 240000 | i_fpga_clock = 1 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 320000 | i_fpga_clock = 0 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 400000 | i_fpga_clock = 1 | i_Done_Trig = 0 | i_SPI_MISO = 1 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 420000 | i_fpga_clock = 1 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 480000 | i_fpga_clock = 0 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 540000 | i_fpga_clock = 0 | i_Done_Trig = 1 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 560000 | i_fpga_clock = 1 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
Time = 640000 | i_fpga_clock = 0 | i_Done_Trig = 0 | i_SPI_MISO = 0 | o_Master_Trig = x | o_SPI_Clk = z | o_SPI_MOSI = z | o_SPI_CS_n = x | F1Q1 = x | F1Q4 = x | F2Q2 = x | F2Q3 = x
